time,positionX,positionY,angle
321232,320,240,0
322565.333333333,309.7075,240.5205,0.00213603388661794
323898.666666667,320.6017,228.2686,0.0183259076883375
325232,321.593,248.1661,0.0195189431664665
326565.333333333,324.231,251.1361,0.00499001574069909
327898.666666667,324.53,243.2226,0.0118174496287615
329232,323.0711,222.9412,0.0327668617917172
330565.333333333,308.3406,231.2471,0.0385196542471977
331898.666666667,334.0533,240.4182,0.0421776066264431
333232,334.585,243.7612,0.0605289557646261
334565.333333333,318.3804,257.9818,0.0861231133502255
335898.666666666,328.6974,239.9625,0.0877765907369655
337232,320.0299,253.6021,0.0937015227879741
338565.333333333,320.1891,222.6844,0.0743649331403961
339898.666666666,310.104,235.0887,0.0780166409319074
341232,321.7451,230.8616,0.104045510622928
342565.333333333,311.2883,245.3181,0.107610483293723
343898.666666666,301.2943,241.7339,0.108289451967429
345232,322.2197,237.2223,0.111057291694638
346565.333333333,312.0703,240.5968,0.109261509756276
347898.666666666,316.4,229.4505,0.0909791500304775
349232,338.3058,238.6547,0.107527215910597
350565.333333333,303.8866,239.8046,0.131764060473457
351898.666666666,326.1063,239.0619,0.156224906784518
353232,319.022,243.1521,0.181092341551809
354565.333333333,310.3487,242.4937,0.201892475408273
355898.666666666,321.3242,232.3472,0.202627644615745
357231.999999999,301.3628,239.6025,0.182792994998881
358565.333333333,316.7492,239.7914,0.172863633184673
359898.666666666,316.8814,235.6026,0.175968055544628
361231.999999999,330.3206,226.4551,0.195755407459521
362565.333333333,324.7135,246.137,0.183442095530159
363898.666666666,324.7135,246.137,0.183442095530159
